COUNTRY;LAT;LNG
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Anguilla;18.220554;-63.06861499999999
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
Antigua and Barbuda;17.060816;-61.796428
